"Value Set HCProfessional.hcSpecialisation - 2.16.756.5.30.1.127.3.10.8.2 2022-06-26T16:02:05";;;;;;;;;;;;;
Level;Type;Code;DisplayName;CodeSystem;CodeSystemName;CodeSystemVersion;Flexibility;Exception;"Designation preferred / it-CH";"Designation preferred / rm-CH";"Designation preferred / de-CH";"Designation preferred / fr-CH";"Designation preferred / en-US"
0;L;1038;"Tropical and travel medicine";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Medicina tropicale e medicina di viaggio";"Medischina da las tropas e da viadis";"Tropen- und Reisemedizin";"Médecine tropicale et médecine des voyages";"Tropical and travel medicine"
0;L;1039;Infectology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Malattie infettive";Infecziologia;Infektiologie;Infectiologie;Infectology
0;L;1040;"General medical practitioner";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Medico generico";"Media generalista/medi generalist";"Praktischer Arzt/Praktische Ärztin";"Médecin praticien";"General medical practitioner"
0;L;1041;Angiology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;Angiologia;Angiologia;Angiologie;Angiologie;Angiology
0;L;1042;"Intensive care medicine";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Medicina intensiva";"Medischina intensiva";Intensivmedizin;"Médecine intensive";"Intensive care medicine"
0;L;1043;"Medical genetics";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Genetica medica";"Genetica medicinala";"Medizinische Genetik";"Génétique médicale";"Medical genetics"
0;L;1044;"Medical oncology";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Oncologia medica";"Oncologia medicinala";"Medizinische Onkologie";"Oncologie médicale";"Medical oncology"
0;L;1045;"Pharmaceutical medicine";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Medicina farmacologica";"Medischina farmaceutica";"Pharmazeutische Medizin";"Médecine pharmaceutique";"Pharmaceutical medicine"
0;L;1046;"Forensic medicine";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Medicina legale";"Medischina forensica";Rechtsmedizin;"Médecine légale";"Forensic medicine"
0;L;1047;"Oral surgery";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Chirurgia orale";"Chirurgia orala";Oralchirurgie;"Chirurgie orale";"Oral surgery"
0;L;1048;Paradontology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;Parodontologia;Parodontologia;Parodontologie;Parodontologie;Paradontology
0;L;1049;"Reconstructive dentistry";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Medicina dentaria riconstruttiva";"Odontologia reconstructiva";"Rekonstruktive Zahnmedizin";"Médecine dentaire reconstructive";"Reconstructive dentistry"
0;L;1050;Other;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;Altre;Auter;Andere;Autre;Other
0;L;1051;"General internal medicine";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Medicina interna generale";"Medischina interna generala";"Allgemeine Innere Medizin";"Médecine interne générale";"General internal medicine"
0;L;1052;"Community pharmacy";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Farmacia d’officina";"Farmazia d'ufficina";Offizinpharmazie;"Pharmacie d’officine";"Community pharmacy"
0;L;1053;"Hospital pharmacy";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Farmacia d’ospedale";"Farmazia d'ospital";Spitalpharmazie;"Pharmacie hospitalière";"Hospital pharmacy"
0;L;1054;Psychotherapy;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;Psicoterapia;Psicoterapia;Psychotherapie;Psychothérapie;Psychotherapy
0;L;1055;"Child and adolescent psychology";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Psicologia dell’età evolutiva";"Psicologia d'uffants e da giuvenils";"Kinder- und Jugendpsychologie";"Psychologie des enfants et des adolescents";"Child and adolescent psychology"
0;L;1056;"Clinical psychology";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Psicologia clinica";"Psicologia clinica";"Klinische Psychologie";"Psychologie clinique";"Clinical psychology"
0;L;1057;Neuropsychology;2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;Neuropsicologia;Neuropsicologia;Neuropsychologie;Neuropsychologie;Neuropsychology
0;L;1058;"Health psychology";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Psicologia della salute";"Psicologia da sanadad";Gesundheitspsychologie;"Psychologie de la santé";"Health psychology"
0;L;1059;"Hand surgery";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Chirurgia della mano";"Chirurgia dal maun";Handchirurgie;"Chirurgie de la main";"Hand surgery"
0;L;1060;"Vascular surgery";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Chirurgia vascolare";"Chirurgia vasculara";Gefässchirurgie;"Chirurgie vasculaire";"Vascular surgery"
0;L;1061;"Thoracic surgery";2.16.756.5.30.1.127.3.5;ch-ehealth-codesystem-medreg;;;false;"Chirurgia toracica";"Chirurgia dal torax";Thoraxchirurgie;"Chirurgie thoracique";"Thoracic surgery"
